continent_tout,year,gdp_per_capita,lifeexp,total_ghg
Africa,1950,1429.8599059803646,44.623400000000004,NA
Africa,1951,1460.9570191184941,44.7294,NA
Africa,1952,1476.684731747968,45.018,NA
Africa,1953,1500.9853398449914,45.2832,NA
Africa,1954,1538.597476456577,45.4622,NA
Africa,1955,1550.6141195563566,45.7482,NA
Africa,1956,1585.3417147082762,46.0356,NA
Africa,1957,1607.6608203465437,46.1532,NA
Africa,1958,1625.3778332974857,46.424,NA
Africa,1959,1672.4817763590065,46.9384,NA
Africa,1960,1727.0494300831701,46.8732,NA
Africa,1961,1770.1427394002174,47.2112,NA
Africa,1962,1793.7189985836073,48.0164,NA
Africa,1963,1898.6386863651655,48.67686274509804,NA
Africa,1964,1971.7380957175876,48.98960784313726,NA
Africa,1965,2030.1298246211795,49.35372549019608,NA
Africa,1966,2065.756269130786,49.63980392156863,NA
Africa,1967,2085.255486697522,49.95823529411765,NA
Africa,1968,2139.848669657314,50.26117647058823,NA
Africa,1969,2199.2617898960766,50.60333333333333,NA
Africa,1970,2280.856685575954,51.0178431372549,NA
Africa,1971,2312.786206285286,51.358823529411765,NA
Africa,1972,2368.9783593692387,51.22588235294118,NA
Africa,1973,2400.6182588609827,52.18509803921569,NA
Africa,1974,2490.846972063413,52.58588235294118,NA
Africa,1975,2476.5612386915236,52.911764705882355,NA
Africa,1976,2634.2000141824046,53.39313725490196,NA
Africa,1977,2607.4953263476445,53.81411764705882,NA
Africa,1978,2569.9736710897123,54.1843137254902,NA
Africa,1979,2619.5721513958297,54.52372549019608,NA
Africa,1980,2591.5762591987777,54.93078431372549,NA
Africa,1981,2534.8021704819,55.13941176470588,NA
Africa,1982,2512.853728217109,55.45901960784314,NA
Africa,1983,2463.7864484471374,55.60901960784314,NA
Africa,1984,2454.5220298459653,55.77901960784314,NA
Africa,1985,2490.9169960779313,56.137843137254904,NA
Africa,1986,2471.132364209993,56.420392156862746,NA
Africa,1987,2421.840524177116,56.62803921568627,NA
Africa,1988,2470.742593421928,56.92235294117647,NA
Africa,1989,2512.0878722365173,57.065294117647056,NA
Africa,1990,2497.6081477297635,57.02725490196079,44.3232
Africa,1991,2546.3665212678698,57.10137254901961,44.81235294117647
Africa,1992,2553.0866869252595,57.138627450980394,45.29686274509804
Africa,1993,2568.333326653684,57.04117647058823,45.94372549019608
Africa,1994,2611.135718620508,56.048235294117646,47.758823529411764
Africa,1995,2672.625416420363,56.702549019607844,48.97274509803922
Africa,1996,2787.4509445030576,56.60176470588235,49.84156862745098
